id,name,ride,goff,lat,lon,demand,cityhall,samsan,taehwagang,ulsanuniv,hhi,uuh,ktx,eonyang,min_to_any,mean_to_centers,n_within
E0920,해븐빌리지6차,37,6,35.42642532,129.3087086,43,71.0,80.0,87.0,90.0,,,,,71.0,82.0,0
E0921,무림피앤피사원주택,3,4,35.42560105,129.3117936,7,74.0,84.0,89.0,92.0,,,,,74.0,84.75,0
E0922,무궁화아파트,107,11,35.42759138,129.3119323,118,72.0,82.0,88.0,91.0,,,,,72.0,83.25,0
E0923,덕신입구,2,4,35.43959607,129.284711,6,63.0,74.0,81.0,85.0,114.0,,,,63.0,83.4,0
E0924,온산농협,6,1,35.43353088,129.3122482,7,65.0,76.0,82.0,83.0,113.0,,,,65.0,83.8,0
E0925,동백아파트,3,0,35.44036636,129.3077915,3,68.0,79.0,86.0,89.0,119.0,,,,68.0,88.2,0
E0926,소방서,18,6,35.4334122,129.3062071,24,68.0,78.0,84.0,87.0,116.0,,,,68.0,86.6,0
E0927,한국제지사택,4,2,35.42998988,129.311312,6,70.0,80.0,87.0,88.0,,,,,70.0,81.25,0
E0928,LS사택,2,0,35.43064821,129.3129686,2,71.0,81.0,87.0,88.0,118.0,,,,71.0,89.0,0
E0929,울산기술공업고등학교,10,0,35.43721525,129.3083916,10,68.0,79.0,84.0,88.0,117.0,,,,68.0,87.2,0
E0930,(주)TCT제2공장,69,9,35.46128879,129.333938,78,49.0,60.0,67.0,70.0,97.0,106.0,114.0,,49.0,80.42857142857143,0
E0931,회학마을입구,39,4,35.45574223,129.3338882,43,54.0,65.0,72.0,74.0,105.0,113.0,,,54.0,80.5,0
E0932,대한유화,49,4,35.45183909,129.3340824,53,56.0,67.0,73.0,75.0,106.0,114.0,,,56.0,81.83333333333333,0
E0933,거남마을,0,2,35.45449323,129.3186234,2,61.0,72.0,79.0,82.0,110.0,119.0,,,61.0,87.16666666666667,0
E0934,협진ENG,0,2,35.44950992,129.317728,2,63.0,74.0,81.0,81.0,113.0,,,,63.0,82.4,0
E0935,장촌상리,5,5,35.54979522,129.1488591,10,77.0,90.0,95.0,62.0,,,10.0,22.0,10.0,59.333333333333336,2
E0936,공촌,27,4,35.54966369,129.1627813,31,78.0,91.0,96.0,62.0,,,16.0,27.0,16.0,61.666666666666664,2
E0937,대방아파트,66,4,35.54943591,129.1671048,70,75.0,89.0,93.0,60.0,,,17.0,28.0,17.0,60.333333333333336,2
E0938,반송,19,2,35.55017819,129.1701166,21,74.0,88.0,93.0,60.0,,,19.0,31.0,19.0,60.833333333333336,2
