stop_name,lat,lon,boardings,alightings
울산시외버스터미널,35.536871,129.338878,21,22
자동차검사소,35.519338,129.344745,19,25
여천동,35.51787,129.347463,51,25
효성,35.514856,129.359367,66,20
송원산업,35.516788,129.350609,29,7
울산알루미늄정문,35.53371,129.371715,1,0
울산알루미늄후문,35.53371,129.371715,0,3
야음본동,35.527756,129.342696,12,11
수암동행정복지센터,35.524134,129.318244,324,46
롯데캐슬삼거리,35.522246,129.319172,328,82
울산해양경찰서,35.520991,129.315302,65,26
동부아파트입구,35.52742,129.322552,793,202
대현동행정복지센터,35.526642,129.327534,218,65
야음시장,35.524547,129.33051,759,184
울산번개시장,35.521738,129.3358,718,170
야음장생포행정복지센터,35.520409,129.338449,125,48
변전소,35.517905,129.34103,78,26
대현초등학교,35.526938,129.325834,430,85
번영로두산위브,35.529629,129.328703,111,17
국민요양병원,35.527326,129.330734,73,16
롯데인벤스,35.53089,129.297156,120,22
새터삼거리,35.519751,129.340453,72,31
동서그린아파트,35.529685,129.326823,54,24
남부초등학교,35.521866,129.320393,112,18
동부아파트204동,35.524634,129.319911,194,44
동부아파트104동,35.523961,129.321784,42,5
동부3단지아파트,35.523642,129.32407,64,14
홈플러스,35.526424,129.323583,386,89
울산세관입구,35.527678,129.326489,141,32
신정현대홈타운단지내,35.529963,129.324776,64,10
청강빌라,35.518147,129.334249,9,1
선암저수지,35.519338,129.332803,14,1
야음초등학교,35.520934,129.330382,20,2
선암수변공원입구,35.521905,129.329574,8,2
SK스포츠센터,35.522767,129.330228,14,5
신선여고,35.525194,129.326366,76,27
야음노인정,35.522929,129.334817,28,1
남구국민체육센터,35.523591,129.33771,8,4
신화마을,35.524053,129.341286,5,2
삼일고입구,35.51612,129.316307,768,365
선암동,35.513033,129.338261,88,22
명동마을,35.399766,129.162819,30,7
석유화학공단입구,35.509642,129.334418,9,1
한라훼미리아파트,35.521939,129.31271,215,22
SK정문,35.492293,129.361844,37,3
SK후문,35.492293,129.361844,23,7
선암호수노인복지관,35.513719,129.318956,213,17
삼일고앞,35.51612,129.316307,142,12
카프로사택,35.5176,129.315799,106,5
우주그린아파트,35.519763,129.312418,106,59
강남파크,35.516683,129.315368,2,13
선암초등학교,35.514433,129.336468,49,2
선암새마을금고,35.515791,129.337516,103,9
남양그린빌,35.507223,129.31157,93,4
개운초등학교아파트입구,35.514107,129.311163,71,2
목화아파트,35.508365,129.310853,15,1
호수공원축구장,35.516802,129.32094,2,0
보현사입구,35.52028,129.325698,3,1
가압장입구,35.508692,129.323904,2,3
개운포역,35.507756,129.321436,72,25
상개동,35.505123,129.31806,47,3
SK공장,35.502753,129.310603,13,1
석유화학단지입구,35.498466,129.339504,19,5
부곡동,35.500552,129.34064,11,0
포스코플랜텍,35.461821,129.342699,13,5
신한비료,35.481481,129.347285,16,1
개운포경상좌수영성,35.47726,129.346465,10,0
처용암입구,35.469282,129.350311,25,6
이지정문,35.468967,129.355975,10,2
SK케미칼,35.469168,129.358305,27,4
용연,35.469357,129.372814,22,7
울산국제물류센터,35.464085,129.369446,6,1
울산신항,35.462621,129.364263,22,0
SKC,35.492293,129.361844,3,0
FCC삼거리,35.490457,129.357697,3,0
황암마을,35.469399,129.363516,105,41
현대중공업용연공장,35.469675,129.366723,11,1
용연한국가스공사,35.47313,129.377521,2,0
듀퐁,35.495331,129.376196,0,1
SK에너지,35.493635,129.380938,0,2
장생포치안센터,35.50184,129.375015,51,14
장생포초등학교,35.502786,129.367623,26,5
울산해양경찰서부두,35.501092,129.371703,25,1
장생포복지문화센터,35.502444,129.377517,49,5
현대모비스울산공장,35.512482,129.366685,58,21
(주)후성,35.509302,129.377827,0,4
양죽마을,35.509052,129.381321,3,2
장생포고래박물관,35.503244,129.380609,85,20
장생포,35.509784,129.367375,23,6
후성,35.509302,129.377827,24,0
삼양사,35.51029,129.374404,21,2
부두노조,35.507338,129.384276,4,1
쌍용양회,35.52404,129.370791,4,2
제5부두,35.518559,129.372972,2,0
화암,35.478239,129.412256,375,59
비치타운,35.480528,129.414839,471,54
우성현대아파트,35.483501,129.418852,517,93
해피랜드아파트,35.48517,129.422137,369,17
방어동행정복지센터,35.485595,129.423191,376,127
방어진초등학교,35.487869,129.425855,376,72
휴먼시아아파트,35.491259,129.429472,340,63
화암중학교,35.485994,129.414356,504,88
일산새마을금고,35.50269,129.427692,390,45
꽃바위아파트,35.483823,129.409629,354,38
꽃바위,35.478833,129.410279,998,141
문현관,35.487391,129.416716,42,3
문재사거리,35.487271,129.418311,156,18
서남구수협,35.487564,129.421417,147,29
화진맨션,35.489004,129.423989,21,6
KCC울산공장,35.518827,129.397988,15,12
현대미포정문,35.507318,129.402056,124,24
현대미포동문,35.494222,129.408596,15,14
제일교회,35.485033,129.421164,18,6
미포해양개발앞,35.495984,129.40786,17,2
신진파크,35.489756,129.421498,81,14
화암촛등공원,35.476306,129.411008,16,0
유마트,35.479549,129.412241,18,1
문현고등학교,35.482355,129.410328,25,1
꽃바위성당,35.485842,129.410948,19,1
동구보훈복지회관,35.487283,129.411942,34,2
현도골든빌리지,35.485659,129.415278,10,1
문현시장,35.484976,129.417241,36,2
현대골프,35.485508,129.419125,16,4
방어진제일교회,35.486072,129.421842,126,10
방어진우체국,35.48709,129.421116,5,4
동진성끝,35.482208,129.431719,59,4
동진수협,35.484941,129.429603,15,1
엘크루202동,35.486798,129.431028,7,1
대성빌라,35.486448,129.427862,10,1
방어진시외터미널,35.486806,129.426163,32,2
방어동행정복지센터입구,35.485595,129.423191,14,7
한마음마트,35.489143,129.420472,50,5
방어진터미널,35.486702,129.426111,0,3
엘크루후문,35.487574,129.430374,42,3
휴먼시아.엘크루정문,35.489,129.429644,101,3
하늘채빌라,35.485815,129.427987,3,1
방어진농협,35.484984,129.424448,13,6
방어진시장,35.484344,129.42348,7,3
대왕암공원입구,35.490078,129.435992,992,140
한라타워,35.507927,129.419912,362,97
동구청,35.505277,129.41767,544,93
금강아파트,35.502492,129.416653,373,60
화정주공아파트,35.494429,129.418183,911,180
송정타워,35.490081,129.4164,456,195
일산해수욕장,35.496222,129.427382,1985,495
힐스테이트이스턴베이,35.49321,129.422292,151,13
화진중학교,35.495917,129.423061,253,57
월정사입구,35.497742,129.423544,86,22
생활과학고등학교,35.503466,129.42216,90,4
일산해수욕장입구,35.496222,129.427382,104,36
동구청사거리,35.504248,129.41637,24,2
방어진중학교,35.503893,129.418705,33,7
방어진고등학교,35.503475,129.424016,41,3
대송중학교,35.503944,129.420103,21,5
방어진성당사거리,35.492131,129.420481,18,2
동천탕,35.493197,129.420772,38,5
주공아파트입구,35.495346,129.419426,150,35
농수산물시장,35.498707,129.419781,267,52
드림마트,35.500664,129.419153,37,11
산돌교회,35.501423,129.418956,23,4
대송동행정복지센터,35.502555,129.419069,88,5
마디정형외과,35.493188,129.426302,37,1
동구문화원,35.494078,129.424863,17,2
월봉시장,35.494819,129.423629,16,2
대왕암공원,35.490078,129.435992,173,36
번덕마을,35.501499,129.428968,1058,375
현대중공업일산문,35.505181,129.429779,896,164
포석정,35.503119,129.426087,10,0
중전기복개천,35.504458,129.428133,29,3
전하인쇄사,35.505405,129.427867,6,3
동부경찰서,35.508821,129.42836,852,193
동울산우체국,35.511606,129.430771,1618,353
전하시장,35.512391,129.429755,308,95
전하1동행정복지센터,35.517319,129.431887,866,119
대경넥스빌,35.517016,129.426625,485,104
남호그린아파트,35.513419,129.423514,486,73
전하아이파크,35.510412,129.421779,539,117
평강교회,35.507009,129.424177,61,10
동울산시장,35.509013,129.425037,191,27
전하E편한세상,35.51285,129.425241,131,13
한마음아파트,35.51367,129.425153,37,8
전하후생관,35.515258,129.4254,101,24
한마음회관,35.518097,129.427282,89,13
울산대학교병원,35.519285,129.429933,223,32
광명교회,35.5064,129.427955,20,3
반석아파트,35.507481,129.428098,8,2
진성8길,35.509873,129.429578,15,5
한라한빛아파트,35.512623,129.426456,77,17
제일그린,35.507127,129.422872,16,5
전하2동행정복지센터,35.508983,129.426809,43,3
전하체육센터,35.513322,129.421762,6,1
늘푸른아파트,35.514071,129.42102,44,2
산록회관,35.514768,129.422476,10,1
주전게이트볼장,35.552264,129.451012,0,1
봉대산공원입구,35.553513,129.454755,34,6
주전큰마을,35.555631,129.456918,43,7
주전초등학교,35.558655,129.457057,17,6
주전항,35.560972,129.455731,41,4
주전새마을,35.564935,129.455634,24,1
주전해수욕장,35.566954,129.454303,9,3
주전어린이공원앞,35.551855,129.451289,1,0
한국프렌지,35.53926,129.428375,86,68
남목파출소,35.542468,129.429871,351,79
남목3동행정복지센터앞,35.545386,129.431208,202,34
남목농협,35.542018,129.426927,93,16
남목초등학교,35.542847,129.426311,41,3
목화맨션,35.544462,129.42581,45,7
벽산유토피아,35.546634,129.425324,100,4
남목청구아파트,35.544705,129.430079,6,6
남목한신아파트,35.545473,129.429943,33,4
쇠평마을,35.557812,129.429668,5,1
쇠평마을쉼터,35.559977,129.428981,2,0
수목원입구,35.551271,129.431781,1,0
현대중공업울산대학병원,35.521076,129.432104,2116,447
현대예술관,35.52255,129.431698,143,37
현대패밀리명덕1차,35.522976,129.427882,21,2
현대패밀리명덕2차,35.523113,129.426116,31,7
현대중공업어린이집,35.522761,129.430081,22,4
남목2동,35.524465,129.432888,569,155
서부패밀리아파트,35.528849,129.432981,2266,448
현대중공업미포문,35.533158,129.432128,1005,275
현대청운고,35.535619,129.430082,419,124
남목1동,35.539375,129.425258,3687,1221
남목1동행정복지센터,35.539106,129.420798,73,13
남목고등학교,35.537611,129.419225,179,57
동구노인요양원,35.53325,129.413238,56,18
정수장,35.530021,129.409219,18,7
서부성원상떼빌북문,35.52629,129.426473,84,22
지웰시티자이,35.526725,129.428589,246,39
서부패밀리110동,35.527406,129.431663,170,39
동부도서관,35.528353,129.427,213,36
녹수초등학교,35.530569,129.430788,177,54
남목입구,35.54065,129.425457,19,23
원지마을입구,35.608258,129.354787,127,82
농소공영차고지,35.611625,129.357501,1046,826
차일마을,35.616347,129.357522,62,52
북울산역앞,35.614412,129.371758,86,21
북울산역,35.614412,129.371758,140,32
농소운동장,35.620548,129.356233,159,53
농소1동행정복지센터,35.622116,129.355396,514,181
농소중학교,35.62492,129.353752,422,224
시장2리,35.627754,129.351193,877,223
공공산후조리원,35.631687,129.363844,29,14
유황사우나,35.628584,129.357728,121,36
홈골,35.63015,129.362636,4,9
농소1동도서관,35.629303,129.354637,48,8
호계주공아파트,35.630768,129.356745,24,1
호계중학교,35.631934,129.359551,44,6
호계한양수자인,35.622761,129.360106,46,12
호계주공1단지,35.632166,129.358043,3,0
호계중학교정문,35.631934,129.359551,2,0
월드메르디앙1단지,35.640506,129.358671,228,69
월드메르디앙2단지,35.64129,129.357638,290,63
매곡현대아파트,35.642613,129.35451,267,62
매곡푸르지오아파트,35.64345,129.35279,315,62
