stop_id,stop_name,lat,lon,boardings,alightings,demand,min_cityhall,min_samsan,min_taehwagang,min_ulsanuniv,min_hhi,min_uuh,min_ktx,min_eonyang,min_to_any_hub,mean_to_hubs,hubs_within_45min
E0158,푸르지오2차아파트,35.56511078,129.3458739,59,4,63,35.0,32.0,33.0,49.0,59.0,70.0,88.0,100.0,32.0,58.25,3
E0159,종합운동장서문입구,35.56356192,129.3452708,17,2,19,34.0,31.0,30.0,49.0,56.0,66.0,86.0,101.0,30.0,56.625,3
E0160,병영시장,35.57035946,129.3460138,91,20,111,30.0,29.0,33.0,46.0,63.0,72.0,85.0,95.0,29.0,56.625,3
E0161,동천야외물놀이장,35.5674125,129.3509056,30,3,33,36.0,31.0,23.0,51.0,60.0,70.0,91.0,103.0,23.0,58.125,3
E0162,삼환나우빌,35.56482079,129.3522358,17,5,22,37.0,31.0,24.0,52.0,55.0,65.0,90.0,102.0,24.0,57.0,3
E0163,골드클래스,35.58813473,129.3440216,259,52,311,38.0,44.0,43.0,49.0,71.0,81.0,89.0,101.0,38.0,64.5,3
E0164,황방산생태야영장,35.58765737,129.3275327,3,0,3,43.0,54.0,60.0,53.0,89.0,97.0,94.0,107.0,43.0,74.625,1
E0165,시례동,35.59663403,129.3242118,2,0,2,59.0,64.0,71.0,67.0,100.0,108.0,108.0,119.0,59.0,87.0,0
E0166,약사동행정복지센터앞,35.57012951,129.3373994,129,17,146,32.0,33.0,38.0,48.0,65.0,75.0,86.0,98.0,32.0,59.375,3
E0167,황방산입구,35.58498542,129.328001,4,0,4,38.0,49.0,55.0,47.0,83.0,92.0,88.0,99.0,38.0,68.875,1
E0168,중구청입구,35.56729488,129.3330448,63,28,91,28.0,28.0,32.0,42.0,56.0,65.0,75.0,89.0,28.0,51.875,4
E0169,약사고등학교,35.57397344,129.3351559,111,16,127,29.0,39.0,43.0,43.0,68.0,77.0,81.0,93.0,29.0,59.125,4
E0170,내약사마을,35.58396586,129.3302019,2,0,2,41.0,53.0,58.0,51.0,85.0,94.0,92.0,103.0,41.0,72.125,1
E0171,천지강변아파트,35.55070046,129.3448232,54,24,78,35.0,26.0,24.0,49.0,52.0,66.0,92.0,103.0,24.0,55.875,3
E0172,신울산종합시장,35.56156543,129.3384782,659,173,832,27.0,22.0,27.0,42.0,53.0,63.0,82.0,94.0,22.0,51.25,4
E0173,학성초등학교후문,35.55963307,129.3444963,290,122,412,26.0,25.0,22.0,42.0,48.0,57.0,79.0,92.0,22.0,48.875,4
E0174,평산초등학교,35.56753807,129.3420289,136,67,203,29.0,29.0,33.0,47.0,61.0,71.0,84.0,96.0,29.0,56.25,3
E0175,약사래미안아파트,35.56560158,129.3379643,255,54,309,24.0,24.0,31.0,41.0,57.0,68.0,82.0,93.0,24.0,52.5,4
E0176,반구1동행정복지센터앞,35.55632186,129.3410334,388,103,491,24.0,18.0,23.0,40.0,54.0,64.0,81.0,92.0,18.0,49.5,4
E0177,학남,35.55385036,129.3407161,371,85,456,26.0,15.0,23.0,41.0,55.0,65.0,83.0,94.0,15.0,50.25,4
E0178,웅진빌라,35.55969153,129.3463952,32,7,39,31.0,26.0,26.0,45.0,52.0,60.0,85.0,97.0,26.0,52.75,4
E0179,한라그랜드아파트,35.55752207,129.348008,72,6,78,33.0,27.0,26.0,48.0,54.0,64.0,88.0,98.0,26.0,54.75,3
E0180,용연암,35.5565377,129.3451366,29,6,35,31.0,23.0,25.0,47.0,54.0,64.0,85.0,97.0,23.0,53.25,3
E0181,강변이편한세상,35.55443503,129.3477622,101,14,115,34.0,24.0,21.0,51.0,58.0,69.0,91.0,102.0,21.0,56.25,3
E0182,대산빌라,35.55279441,129.3473044,38,13,51,32.0,22.0,19.0,49.0,54.0,66.0,89.0,100.0,19.0,53.875,3
E0183,가온고,35.55328491,129.3436305,84,5,89,29.0,20.0,25.0,46.0,59.0,68.0,87.0,97.0,20.0,53.875,3
E0184,화합로입구,35.55351793,129.341507,12,1,13,27.0,17.0,23.0,44.0,55.0,66.0,83.0,96.0,17.0,51.375,4
E0185,우신고등학교입구,35.5384146,129.2522985,1316,404,1720,35.0,45.0,51.0,19.0,82.0,93.0,68.0,76.0,19.0,58.625,3
E0186,울산과학대학,35.53994658,129.257087,3092,692,3784,31.0,41.0,47.0,11.0,79.0,88.0,61.0,70.0,11.0,53.5,3
E0187,울산대학교,35.54285132,129.2594616,3321,874,4195,31.0,41.0,48.0,7.0,77.0,86.0,59.0,66.0,7.0,51.875,3
E0188,울산대학교후문,35.54285132,129.2594616,1999,489,2488,31.0,41.0,47.0,7.0,79.0,89.0,58.0,65.0,7.0,52.125,3
